# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4772300
# River:                 RIO GRANDE DE MATAGALPA
# Station:               SAN PEDRO DEL NORTE
# Country:               NI
# Latitude (DD):       13.05
# Longitude (DD):      -84.72
# Catchment area (km²):      14646.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-08 - 1982-07
# No. of years:          12
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3972
# DATA
YYYY-MM-DD;hh:mm; Value
1971-08-19;--:--;    469.000
1971-08-20;--:--;    460.000
1971-08-21;--:--;    486.000
1971-08-22;--:--;    404.000
1971-08-23;--:--;    404.000
1971-08-24;--:--;   1112.000
1971-08-25;--:--;    978.000
1971-08-26;--:--;    604.000
1971-08-27;--:--;    746.000
1971-08-28;--:--;    761.000
1971-08-29;--:--;    785.000
1971-08-30;--:--;    948.000
1971-08-31;--:--;    803.000
1971-09-01;--:--;    665.000
1971-09-02;--:--;    733.000
1971-09-03;--:--;    114.000
1971-09-04;--:--;   1383.000
1971-09-05;--:--;   1201.000
1971-09-06;--:--;   1074.000
1971-09-07;--:--;    794.000
1971-09-08;--:--;    924.000
1971-09-09;--:--;    661.000
1971-09-10;--:--;    482.000
1971-09-11;--:--;    397.000
1971-09-12;--:--;    394.000
1971-09-13;--:--;    342.000
1971-09-14;--:--;    308.000
1971-09-15;--:--;    278.000
1971-09-16;--:--;    263.000
1971-09-17;--:--;    251.000
1971-09-18;--:--;    251.000
1971-09-19;--:--;    946.000
1971-09-20;--:--;   6247.000
1971-09-21;--:--;   5262.000
1971-09-22;--:--;   2228.000
1971-09-23;--:--;   2228.000
1971-09-24;--:--;   1598.000
1971-09-25;--:--;   1280.000
1971-09-26;--:--;   1193.000
1971-09-27;--:--;   1359.000
1971-09-28;--:--;   1243.000
1971-09-29;--:--;   1094.000
1971-09-30;--:--;   2243.000
1971-10-01;--:--;   1492.000
1971-10-02;--:--;   1192.000
1971-10-03;--:--;   1385.000
1971-10-04;--:--;   1172.000
1971-10-05;--:--;   1042.000
1971-10-06;--:--;   1439.000
1971-10-07;--:--;   1744.000
1971-10-08;--:--;   1409.000
1971-10-09;--:--;    990.000
1971-10-10;--:--;    756.000
1971-10-11;--:--;    665.000
1971-10-12;--:--;    643.000
1971-10-13;--:--;    699.000
1971-10-14;--:--;    727.000
1971-10-15;--:--;    779.000
1971-10-16;--:--;   1082.000
1971-10-17;--:--;   1142.000
1971-10-18;--:--;   1513.000
1971-10-19;--:--;   1745.000
1971-10-20;--:--;   1649.000
1971-10-21;--:--;   1412.000
1971-10-22;--:--;   1325.000
1971-10-23;--:--;   1325.000
1971-10-24;--:--;   5047.000
1971-10-25;--:--;   2650.000
1971-10-26;--:--;   1413.000
1971-10-27;--:--;   1125.000
1971-10-28;--:--;   1116.000
1971-10-29;--:--;    852.000
1971-10-30;--:--;    673.000
1971-10-31;--:--;    571.000
1971-11-01;--:--;    505.000
1971-11-02;--:--;    455.000
1971-11-03;--:--;    445.000
1971-11-04;--:--;    501.000
1971-11-05;--:--;    442.000
1971-11-06;--:--;    421.000
1971-11-07;--:--;    421.000
1971-11-08;--:--;    443.000
1971-11-09;--:--;    421.000
1971-11-10;--:--;    363.000
1971-11-11;--:--;    337.000
1971-11-12;--:--;    373.000
1971-11-13;--:--;    330.000
1971-11-14;--:--;    290.000
1971-11-15;--:--;    269.000
1971-11-16;--:--;    263.000
1971-11-17;--:--;    293.000
1971-11-18;--:--;    249.000
1971-11-19;--:--;    236.000
1971-11-20;--:--;    252.000
1971-11-21;--:--;    313.000
1971-11-22;--:--;    323.000
