# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4773050
# River:                 RIO VIEJO
# Station:               LA LIMA
# Country:               NI
# Latitude (DD):       12.95
# Longitude (DD):      -86.1
# Catchment area (km²):      855.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4773100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1962-07 - 1994-12
# No. of years:          33
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11865
# DATA
YYYY-MM-DD;hh:mm; Value
1962-07-08;--:--;      7.620
1962-07-09;--:--;      5.260
1962-07-10;--:--;      3.960
1962-07-11;--:--;      3.280
1962-07-12;--:--;      2.850
1962-07-13;--:--;      2.430
1962-07-14;--:--;      2.640
1962-07-15;--:--;      2.850
1962-07-16;--:--;     12.900
1962-07-17;--:--;     24.200
1962-07-18;--:--;      8.500
1962-07-19;--:--;      5.000
1962-07-20;--:--;      3.700
1962-07-21;--:--;      3.280
1962-07-22;--:--;      3.280
1962-07-23;--:--;      3.280
1962-07-24;--:--;      2.430
1962-07-25;--:--;      2.000
1962-07-26;--:--;      2.430
1962-07-27;--:--;      2.220
1962-07-28;--:--;      1.580
1962-07-29;--:--;      1.580
1962-07-30;--:--;      1.260
1962-07-31;--:--;      1.420
1962-08-01;--:--;      2.430
1962-08-02;--:--;      2.000
1962-08-03;--:--;      1.580
1962-08-04;--:--;      1.080
1962-08-05;--:--;      1.080
1962-08-06;--:--;      0.940
1962-08-07;--:--;      0.620
1962-08-08;--:--;      0.620
1962-08-09;--:--;      0.620
1962-08-10;--:--;      1.080
1962-08-11;--:--;      0.940
1962-08-12;--:--;      0.620
1962-08-13;--:--;      0.620
1962-08-14;--:--;      0.460
1962-08-15;--:--;      0.460
1962-08-16;--:--;      0.300
1962-08-17;--:--;      0.300
1962-08-18;--:--;      0.460
1962-08-19;--:--;      0.300
1962-08-20;--:--;      0.460
1962-08-21;--:--;      0.460
1962-08-22;--:--;      0.620
1962-08-23;--:--;      0.620
1962-08-24;--:--;      1.080
1962-08-25;--:--;      1.080
1962-08-26;--:--;      1.080
1962-08-27;--:--;      3.220
1962-08-28;--:--;     24.500
1962-08-29;--:--;     16.400
1962-08-30;--:--;      9.240
1962-08-31;--:--;      6.810
1962-09-01;--:--;      3.960
1962-09-02;--:--;      3.060
1962-09-03;--:--;      2.430
1962-09-04;--:--;      2.430
1962-09-05;--:--;      2.000
1962-09-06;--:--;      2.000
1962-09-07;--:--;      1.580
1962-09-08;--:--;      2.220
1962-09-09;--:--;      4.620
1962-09-10;--:--;      2.640
1962-09-11;--:--;      2.000
1962-09-12;--:--;      1.790
1962-09-13;--:--;      1.580
1962-09-14;--:--;      1.580
1962-09-15;--:--;      3.870
1962-09-16;--:--;      9.490
1962-09-17;--:--;     13.300
1962-09-18;--:--;     16.700
1962-09-19;--:--;      6.300
1962-09-20;--:--;      5.520
1962-09-21;--:--;      3.700
1962-09-22;--:--;      3.700
1962-09-23;--:--;      3.700
1962-09-24;--:--;     13.200
1962-09-25;--:--;      7.380
1962-09-26;--:--;      5.000
1962-09-27;--:--;      6.300
1962-09-28;--:--;      5.000
1962-09-29;--:--;     16.400
1962-09-30;--:--;      7.440
1962-10-01;--:--;      5.000
1962-10-02;--:--;      3.700
1962-10-03;--:--;     32.300
1962-10-04;--:--;   -999.000
1962-10-05;--:--;   -999.000
1962-10-06;--:--;   -999.000
1962-10-07;--:--;   -999.000
1962-10-08;--:--;   -999.000
1962-10-09;--:--;   -999.000
1962-10-10;--:--;   -999.000
1962-10-11;--:--;   -999.000
1962-10-12;--:--;      4.220
1962-10-13;--:--;      3.700
1962-10-14;--:--;      4.220
1962-10-15;--:--;     18.400
1962-10-16;--:--;     25.400
1962-10-17;--:--;     36.100
1962-10-18;--:--;     16.800
1962-10-19;--:--;     11.900
1962-10-20;--:--;     12.100
1962-10-21;--:--;     18.600
1962-10-22;--:--;      8.940
1962-10-23;--:--;      8.940
1962-10-24;--:--;      8.500
1962-10-25;--:--;      9.190
1962-10-26;--:--;     21.700
1962-10-27;--:--;      9.380
1962-10-28;--:--;      6.740
1962-10-29;--:--;      5.260
1962-10-30;--:--;      6.380
1962-10-31;--:--;     14.900
1962-11-01;--:--;      8.500
1962-11-02;--:--;      5.260
1962-11-03;--:--;      7.630
1962-11-04;--:--;      5.000
1962-11-05;--:--;      3.700
1962-11-06;--:--;      3.060
1962-11-07;--:--;      2.850
1962-11-08;--:--;      2.640
1962-11-09;--:--;      2.430
1962-11-10;--:--;      2.220
1962-11-11;--:--;      2.000
1962-11-12;--:--;      1.790
1962-11-13;--:--;      1.790
1962-11-14;--:--;      1.580
1962-11-15;--:--;      1.580
1962-11-16;--:--;      1.420
1962-11-17;--:--;      1.420
1962-11-18;--:--;      1.420
1962-11-19;--:--;      1.420
1962-11-20;--:--;      1.420
1962-11-21;--:--;      1.420
1962-11-22;--:--;      4.990
1962-11-23;--:--;      4.990
1962-11-24;--:--;      3.700
1962-11-25;--:--;      2.850
1962-11-26;--:--;      2.430
1962-11-27;--:--;      2.220
1962-11-28;--:--;      1.790
1962-11-29;--:--;      1.580
1962-11-30;--:--;      1.580
1962-12-01;--:--;      1.420
1962-12-02;--:--;      1.080
1962-12-03;--:--;      1.080
1962-12-04;--:--;      1.080
1962-12-05;--:--;      0.940
1962-12-06;--:--;      0.780
1962-12-07;--:--;      0.780
1962-12-08;--:--;      0.620
1962-12-09;--:--;      0.620
1962-12-10;--:--;      0.620
1962-12-11;--:--;      0.620
1962-12-12;--:--;      0.460
1962-12-13;--:--;      0.460
1962-12-14;--:--;      0.460
1962-12-15;--:--;      0.460
1962-12-16;--:--;      0.460
1962-12-17;--:--;      0.460
1962-12-18;--:--;      0.300
1962-12-19;--:--;      0.300
1962-12-20;--:--;      0.140
1962-12-21;--:--;      0.140
1962-12-22;--:--;      0.140
1962-12-23;--:--;      0.140
1962-12-24;--:--;      0.140
1962-12-25;--:--;      0.000
1962-12-26;--:--;      0.000
1962-12-27;--:--;      0.000
1962-12-28;--:--;      0.000
1962-12-29;--:--;      0.000
1962-12-30;--:--;      0.000
1962-12-31;--:--;      0.000
1963-01-01;--:--;      0.000
1963-01-02;--:--;      0.000
1963-01-03;--:--;      0.000
1963-01-04;--:--;      0.000
1963-01-05;--:--;      0.000
1963-01-06;--:--;      0.000
1963-01-07;--:--;      0.000
1963-01-08;--:--;      0.000
1963-01-09;--:--;      0.000
1963-01-10;--:--;      0.000
1963-01-11;--:--;      0.000
1963-01-12;--:--;      0.000
1963-01-13;--:--;      0.000
1963-01-14;--:--;      0.000
1963-01-15;--:--;      0.000
1963-01-16;--:--;      0.000
1963-01-17;--:--;      0.000
1963-01-18;--:--;      0.000
1963-01-19;--:--;      0.000
1963-01-20;--:--;      0.000
1963-01-21;--:--;      0.000
1963-01-22;--:--;      0.000
1963-01-23;--:--;      0.000
1963-01-24;--:--;      0.000
1963-01-25;--:--;      0.000
1963-01-26;--:--;      0.000
1963-01-27;--:--;      0.000
1963-01-28;--:--;      0.140
1963-01-29;--:--;      0.000
1963-01-30;--:--;      0.000
1963-01-31;--:--;      0.000
1963-02-01;--:--;      0.460
1963-02-02;--:--;      0.460
1963-02-03;--:--;      0.620
1963-02-04;--:--;      0.620
1963-02-05;--:--;      0.300
1963-02-06;--:--;      0.140
1963-02-07;--:--;      0.140
1963-02-08;--:--;      0.140
1963-02-09;--:--;      0.000
1963-02-10;--:--;      0.000
1963-02-11;--:--;      0.000
1963-02-12;--:--;      0.000
1963-02-13;--:--;      0.000
1963-02-14;--:--;      0.000
1963-02-15;--:--;      0.000
1963-02-16;--:--;      0.000
1963-02-17;--:--;      0.000
1963-02-18;--:--;      0.000
1963-02-19;--:--;      0.000
1963-02-20;--:--;      0.000
1963-02-21;--:--;      0.000
1963-02-22;--:--;      0.000
1963-02-23;--:--;      0.000
1963-02-24;--:--;      0.000
1963-02-25;--:--;      0.000
1963-02-26;--:--;      0.000
1963-02-27;--:--;      0.000
1963-02-28;--:--;      0.000
1963-03-01;--:--;      0.000
1963-03-02;--:--;      0.000
1963-03-03;--:--;      0.000
1963-03-04;--:--;      0.000
1963-03-05;--:--;      0.000
1963-03-06;--:--;      0.000
1963-03-07;--:--;      0.000
1963-03-08;--:--;      0.000
1963-03-09;--:--;      0.000
1963-03-10;--:--;      0.000
1963-03-11;--:--;      0.000
1963-03-12;--:--;      0.000
1963-03-13;--:--;      0.000
1963-03-14;--:--;      0.000
1963-03-15;--:--;      0.000
1963-03-16;--:--;      0.000
1963-03-17;--:--;      0.000
1963-03-18;--:--;      0.000
1963-03-19;--:--;      0.000
1963-03-20;--:--;      0.000
1963-03-21;--:--;      0.000
1963-03-22;--:--;      0.000
1963-03-23;--:--;      0.000
1963-03-24;--:--;      0.000
1963-03-25;--:--;      0.000
1963-03-26;--:--;      0.000
1963-03-27;--:--;      0.000
1963-03-28;--:--;      0.000
1963-03-29;--:--;      0.000
1963-03-30;--:--;      0.000
1963-03-31;--:--;      0.000
1963-04-01;--:--;      0.000
1963-04-02;--:--;      0.000
1963-04-03;--:--;      0.000
1963-04-04;--:--;      0.000
1963-04-05;--:--;      0.000
1963-04-06;--:--;      0.000
1963-04-07;--:--;      0.000
1963-04-08;--:--;      0.000
1963-04-09;--:--;      0.000
1963-04-10;--:--;      0.000
1963-04-11;--:--;      0.460
1963-04-12;--:--;      0.140
1963-04-13;--:--;      0.810
1963-04-14;--:--;      2.110
1963-04-15;--:--;      1.420
1963-04-16;--:--;      0.780
1963-04-17;--:--;      0.460
1963-04-18;--:--;      0.300
1963-04-19;--:--;      0.000
1963-04-20;--:--;      0.000
1963-04-21;--:--;      0.000
1963-04-22;--:--;      0.000
1963-04-23;--:--;      0.000
1963-04-24;--:--;      0.000
1963-04-25;--:--;      0.000
1963-04-26;--:--;      0.000
1963-04-27;--:--;      0.000
1963-04-28;--:--;      0.000
1963-04-29;--:--;      0.000
1963-04-30;--:--;      0.000
1963-05-01;--:--;      0.000
1963-05-02;--:--;      0.000
1963-05-03;--:--;      0.000
1963-05-04;--:--;      0.000
1963-05-05;--:--;      0.000
1963-05-06;--:--;      0.000
1963-05-07;--:--;      0.000
1963-05-08;--:--;      0.000
1963-05-09;--:--;      0.000
1963-05-10;--:--;      0.000
1963-05-11;--:--;      0.000
1963-05-12;--:--;      0.000
1963-05-13;--:--;      0.000
1963-05-14;--:--;      0.000
1963-05-15;--:--;      0.000
1963-05-16;--:--;      0.000
1963-05-17;--:--;      0.000
1963-05-18;--:--;      0.000
1963-05-19;--:--;      0.000
1963-05-20;--:--;      0.000
1963-05-21;--:--;      0.000
1963-05-22;--:--;      0.000
1963-05-23;--:--;      0.000
1963-05-24;--:--;      0.000
1963-05-25;--:--;      0.000
1963-05-26;--:--;      0.000
1963-05-27;--:--;      0.000
1963-05-28;--:--;      0.000
1963-05-29;--:--;      0.000
1963-05-30;--:--;      0.000
1963-05-31;--:--;      0.000
1963-06-01;--:--;      0.000
1963-06-02;--:--;      0.000
1963-06-03;--:--;      0.000
1963-06-04;--:--;      0.000
1963-06-05;--:--;      0.000
1963-06-06;--:--;      0.000
1963-06-07;--:--;      0.000
1963-06-08;--:--;      0.000
1963-06-09;--:--;      0.000
1963-06-10;--:--;      0.140
1963-06-11;--:--;      0.300
1963-06-12;--:--;      0.140
1963-06-13;--:--;      0.140
1963-06-14;--:--;      0.300
1963-06-15;--:--;      0.940
1963-06-16;--:--;      0.620
1963-06-17;--:--;      0.300
1963-06-18;--:--;      0.140
1963-06-19;--:--;      0.140
1963-06-20;--:--;      0.000
1963-06-21;--:--;      0.000
1963-06-22;--:--;      0.000
1963-06-23;--:--;      0.000
1963-06-24;--:--;      0.000
1963-06-25;--:--;      0.000
1963-06-26;--:--;      0.000
1963-06-27;--:--;      0.140
1963-06-28;--:--;      0.140
1963-06-29;--:--;      0.140
1963-06-30;--:--;      0.140
1963-07-01;--:--;      0.140
1963-07-02;--:--;      0.300
1963-07-03;--:--;      0.460
1963-07-04;--:--;      0.940
1963-07-05;--:--;      0.780
1963-07-06;--:--;      0.460
1963-07-07;--:--;      0.460
1963-07-08;--:--;      0.300
1963-07-09;--:--;      0.140
1963-07-10;--:--;      0.140
1963-07-11;--:--;      0.140
1963-07-12;--:--;      0.000
1963-07-13;--:--;      0.000
1963-07-14;--:--;      0.000
1963-07-15;--:--;      0.140
1963-07-16;--:--;      0.000
1963-07-17;--:--;      0.000
1963-07-18;--:--;      0.000
1963-07-19;--:--;      0.140
1963-07-20;--:--;      0.300
1963-07-21;--:--;      0.620
1963-07-22;--:--;      0.300
1963-07-23;--:--;      0.300
1963-07-24;--:--;      0.780
1963-07-25;--:--;      0.460
1963-07-26;--:--;      0.460
1963-07-27;--:--;      0.300
1963-07-28;--:--;      0.140
1963-07-29;--:--;      0.000
1963-07-30;--:--;      0.000
1963-07-31;--:--;      0.000
1963-08-01;--:--;      0.000
1963-08-02;--:--;      0.000
1963-08-03;--:--;      0.000
1963-08-04;--:--;      0.000
1963-08-05;--:--;      0.000
1963-08-06;--:--;      0.000
1963-08-07;--:--;      0.000
1963-08-08;--:--;      0.000
1963-08-09;--:--;      0.000
1963-08-10;--:--;      0.000
1963-08-11;--:--;      0.000
1963-08-12;--:--;      0.000
1963-08-13;--:--;      0.000
1963-08-14;--:--;      0.000
1963-08-15;--:--;      0.000
1963-08-16;--:--;      0.000
1963-08-17;--:--;      0.000
1963-08-18;--:--;      0.000
1963-08-19;--:--;      0.460
1963-08-20;--:--;      0.620
1963-08-21;--:--;      0.620
1963-08-22;--:--;      0.620
1963-08-23;--:--;      0.620
1963-08-24;--:--;      0.620
1963-08-25;--:--;      0.300
1963-08-26;--:--;      0.140
1963-08-27;--:--;      0.000
1963-08-28;--:--;      0.000
1963-08-29;--:--;      0.000
1963-08-30;--:--;      0.000
1963-08-31;--:--;      0.000
1963-09-01;--:--;      0.000
1963-09-02;--:--;      0.000
1963-09-03;--:--;      0.000
1963-09-04;--:--;      0.000
1963-09-05;--:--;      0.000
1963-09-06;--:--;      0.140
1963-09-07;--:--;      0.620
1963-09-08;--:--;      0.620
1963-09-09;--:--;      0.460
1963-09-10;--:--;      0.460
1963-09-11;--:--;      0.620
1963-09-12;--:--;      0.460
1963-09-13;--:--;      0.300
1963-09-14;--:--;      0.300
1963-09-15;--:--;      0.300
1963-09-16;--:--;      0.460
1963-09-17;--:--;      0.300
1963-09-18;--:--;      0.460
1963-09-19;--:--;      4.610
1963-09-20;--:--;      1.580
1963-09-21;--:--;      5.340
1963-09-22;--:--;      7.140
1963-09-23;--:--;      7.140
