# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4773800
# River:                 RIO SAN JUAN
# Station:               EL CASTILLO
# Country:               NI
# Latitude (DD):       11.02
# Longitude (DD):      -84.42
# Catchment area (km²):      28600.0
# Altitude (m ASL):        26.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1985-01 - 1989-11
# No. of years:          5
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1779
# DATA
YYYY-MM-DD;hh:mm; Value
1985-01-01;--:--;    403.000
1985-01-02;--:--;    397.000
1985-01-03;--:--;    393.000
1985-01-04;--:--;   -999.000
1985-01-05;--:--;   -999.000
1985-01-06;--:--;   -999.000
1985-01-07;--:--;   -999.000
1985-01-08;--:--;   -999.000
1985-01-09;--:--;   -999.000
1985-01-10;--:--;   -999.000
1985-01-11;--:--;   -999.000
1985-01-12;--:--;   -999.000
1985-01-13;--:--;   -999.000
1985-01-14;--:--;   -999.000
1985-01-15;--:--;   -999.000
1985-01-16;--:--;   -999.000
1985-01-17;--:--;   -999.000
1985-01-18;--:--;   -999.000
1985-01-19;--:--;   -999.000
1985-01-20;--:--;   -999.000
1985-01-21;--:--;   -999.000
1985-01-22;--:--;   -999.000
1985-01-23;--:--;   -999.000
1985-01-24;--:--;   -999.000
1985-01-25;--:--;   -999.000
1985-01-26;--:--;   -999.000
1985-01-27;--:--;   -999.000
1985-01-28;--:--;   -999.000
1985-01-29;--:--;   -999.000
1985-01-30;--:--;   -999.000
1985-01-31;--:--;   -999.000
1985-02-01;--:--;   -999.000
1985-02-02;--:--;   -999.000
1985-02-03;--:--;   -999.000
1985-02-04;--:--;   -999.000
1985-02-05;--:--;   -999.000
1985-02-06;--:--;   -999.000
1985-02-07;--:--;   -999.000
1985-02-08;--:--;   -999.000
1985-02-09;--:--;   -999.000
1985-02-10;--:--;   -999.000
1985-02-11;--:--;   -999.000
1985-02-12;--:--;   -999.000
1985-02-13;--:--;   -999.000
1985-02-14;--:--;   -999.000
1985-02-15;--:--;   -999.000
1985-02-16;--:--;   -999.000
1985-02-17;--:--;   -999.000
1985-02-18;--:--;   -999.000
1985-02-19;--:--;   -999.000
1985-02-20;--:--;   -999.000
1985-02-21;--:--;   -999.000
1985-02-22;--:--;   -999.000
1985-02-23;--:--;   -999.000
1985-02-24;--:--;   -999.000
1985-02-25;--:--;   -999.000
1985-02-26;--:--;   -999.000
1985-02-27;--:--;   -999.000
1985-02-28;--:--;   -999.000
1985-03-01;--:--;   -999.000
1985-03-02;--:--;   -999.000
1985-03-03;--:--;   -999.000
1985-03-04;--:--;   -999.000
1985-03-05;--:--;   -999.000
1985-03-06;--:--;   -999.000
1985-03-07;--:--;   -999.000
1985-03-08;--:--;   -999.000
1985-03-09;--:--;   -999.000
1985-03-10;--:--;   -999.000
1985-03-11;--:--;   -999.000
1985-03-12;--:--;   -999.000
1985-03-13;--:--;   -999.000
1985-03-14;--:--;   -999.000
1985-03-15;--:--;   -999.000
1985-03-16;--:--;    339.000
1985-03-17;--:--;    343.000
1985-03-18;--:--;    323.000
1985-03-19;--:--;    307.000
1985-03-20;--:--;    315.000
1985-03-21;--:--;    307.000
1985-03-22;--:--;    307.000
1985-03-23;--:--;    307.000
1985-03-24;--:--;    300.000
1985-03-25;--:--;    296.000
1985-03-26;--:--;    296.000
1985-03-27;--:--;    300.000
1985-03-28;--:--;    300.000
1985-03-29;--:--;    285.000
1985-03-30;--:--;    281.000
1985-03-31;--:--;    278.000
1985-04-01;--:--;    246.000
1985-04-02;--:--;    246.000
1985-04-03;--:--;    242.000
1985-04-04;--:--;    239.000
1985-04-05;--:--;    235.000
1985-04-06;--:--;    232.000
1985-04-07;--:--;    229.000
1985-04-08;--:--;    229.000
1985-04-09;--:--;    229.000
1985-04-10;--:--;    226.000
1985-04-11;--:--;    229.000
1985-04-12;--:--;    229.000
1985-04-13;--:--;    222.000
1985-04-14;--:--;    222.000
1985-04-15;--:--;    222.000
1985-04-16;--:--;    222.000
1985-04-17;--:--;    229.000
1985-04-18;--:--;    222.000
1985-04-19;--:--;    229.000
1985-04-20;--:--;    229.000
1985-04-21;--:--;    229.000
1985-04-22;--:--;    232.000
1985-04-23;--:--;    232.000
1985-04-24;--:--;    235.000
1985-04-25;--:--;    239.000
1985-04-26;--:--;    242.000
1985-04-27;--:--;    246.000
1985-04-28;--:--;    246.000
1985-04-29;--:--;    242.000
1985-04-30;--:--;    239.000
1985-05-01;--:--;    197.000
1985-05-02;--:--;    194.000
1985-05-03;--:--;    194.000
1985-05-04;--:--;    194.000
1985-05-05;--:--;    191.000
1985-05-06;--:--;    194.000
1985-05-07;--:--;    197.000
1985-05-08;--:--;    197.000
1985-05-09;--:--;    200.000
1985-05-10;--:--;    203.000
1985-05-11;--:--;    206.000
1985-05-12;--:--;    213.000
1985-05-13;--:--;    209.000
1985-05-14;--:--;    209.000
1985-05-15;--:--;    206.000
1985-05-16;--:--;    200.000
1985-05-17;--:--;    197.000
1985-05-18;--:--;    203.000
1985-05-19;--:--;    200.000
1985-05-20;--:--;    194.000
1985-05-21;--:--;    185.000
1985-05-22;--:--;    185.000
1985-05-23;--:--;    185.000
1985-05-24;--:--;    179.000
1985-05-25;--:--;    188.000
1985-05-26;--:--;    188.000
1985-05-27;--:--;    188.000
1985-05-28;--:--;    188.000
1985-05-29;--:--;    185.000
1985-05-30;--:--;    182.000
1985-05-31;--:--;    182.000
1985-06-01;--:--;      0.000
1985-06-02;--:--;    200.000
1985-06-03;--:--;    203.000
1985-06-04;--:--;    200.000
1985-06-05;--:--;    216.000
1985-06-06;--:--;    229.000
1985-06-07;--:--;    206.000
1985-06-08;--:--;    203.000
1985-06-09;--:--;    197.000
1985-06-10;--:--;    197.000
1985-06-11;--:--;    197.000
1985-06-12;--:--;    197.000
1985-06-13;--:--;    197.000
1985-06-14;--:--;    197.000
1985-06-15;--:--;    197.000
1985-06-16;--:--;    200.000
1985-06-17;--:--;    209.000
1985-06-18;--:--;    242.000
1985-06-19;--:--;    222.000
1985-06-20;--:--;    206.000
1985-06-21;--:--;     67.000
1985-06-22;--:--;    216.000
1985-06-23;--:--;    216.000
1985-06-24;--:--;    274.000
1985-06-25;--:--;    229.000
1985-06-26;--:--;    222.000
1985-06-27;--:--;    226.000
1985-06-28;--:--;    289.000
1985-06-29;--:--;    466.000
1985-06-30;--:--;    371.000
1985-07-01;--:--;    307.000
1985-07-02;--:--;    260.000
1985-07-03;--:--;    274.000
1985-07-04;--:--;    551.000
1985-07-05;--:--;    475.000
1985-07-06;--:--;    397.000
1985-07-07;--:--;    488.000
1985-07-08;--:--;    458.000
1985-07-09;--:--;    466.000
1985-07-10;--:--;    367.000
1985-07-11;--:--;    376.000
1985-07-12;--:--;    315.000
1985-07-13;--:--;    315.000
1985-07-14;--:--;    466.000
1985-07-15;--:--;    458.000
1985-07-16;--:--;    384.000
1985-07-17;--:--;    407.000
1985-07-18;--:--;    401.000
1985-07-19;--:--;    371.000
1985-07-20;--:--;    367.000
