# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4873230
# River:                 RIO SAN CARLOS
# Station:               JABILLOS
# Country:               CR
# Latitude (DD):       10.53
# Longitude (DD):      -84.53
# Catchment area (km²):      552.0
# Altitude (m ASL):        124.0
# Next downstream station:      4873250
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973-05 - 1993-04
# No. of years:          21
# Last update:           2018-05-31
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7305
# DATA
YYYY-MM-DD;hh:mm; Value
1973-05-01;--:--;     12.000
1973-05-02;--:--;     12.000
1973-05-03;--:--;     11.000
1973-05-04;--:--;     12.000
1973-05-05;--:--;     12.000
1973-05-06;--:--;     12.000
1973-05-07;--:--;     12.000
1973-05-08;--:--;     15.000
1973-05-09;--:--;     26.000
1973-05-10;--:--;     21.000
1973-05-11;--:--;     15.000
1973-05-12;--:--;     13.000
1973-05-13;--:--;     12.000
1973-05-14;--:--;     12.000
1973-05-15;--:--;     12.000
1973-05-16;--:--;     17.000
1973-05-17;--:--;     15.000
1973-05-18;--:--;     13.000
1973-05-19;--:--;     14.000
1973-05-20;--:--;     20.000
1973-05-21;--:--;     48.000
1973-05-22;--:--;     23.000
1973-05-23;--:--;     27.000
1973-05-24;--:--;     33.000
1973-05-25;--:--;     51.000
1973-05-26;--:--;     31.000
1973-05-27;--:--;     42.000
1973-05-28;--:--;     37.000
1973-05-29;--:--;     32.000
1973-05-30;--:--;     41.000
1973-05-31;--:--;     42.000
1973-06-01;--:--;     49.000
1973-06-02;--:--;     58.000
1973-06-03;--:--;     49.000
1973-06-04;--:--;     39.000
1973-06-05;--:--;     31.000
1973-06-06;--:--;     59.000
1973-06-07;--:--;     63.000
1973-06-08;--:--;     51.000
1973-06-09;--:--;     39.000
1973-06-10;--:--;     40.000
1973-06-11;--:--;     37.000
1973-06-12;--:--;     34.000
1973-06-13;--:--;     44.000
1973-06-14;--:--;     70.000
1973-06-15;--:--;     55.000
1973-06-16;--:--;     46.000
1973-06-17;--:--;     59.000
1973-06-18;--:--;     95.000
1973-06-19;--:--;     71.000
1973-06-20;--:--;     73.000
1973-06-21;--:--;    118.000
1973-06-22;--:--;     88.000
1973-06-23;--:--;    111.000
1973-06-24;--:--;    107.000
1973-06-25;--:--;     91.000
1973-06-26;--:--;     71.000
1973-06-27;--:--;     85.000
1973-06-28;--:--;     82.000
1973-06-29;--:--;     89.000
1973-06-30;--:--;    114.000
1973-07-01;--:--;    104.000
1973-07-02;--:--;     74.000
1973-07-03;--:--;     58.000
1973-07-04;--:--;     51.000
1973-07-05;--:--;     51.000
1973-07-06;--:--;     46.000
1973-07-07;--:--;     41.000
1973-07-08;--:--;     37.000
1973-07-09;--:--;     34.000
1973-07-10;--:--;     33.000
1973-07-11;--:--;     31.000
1973-07-12;--:--;     29.000
1973-07-13;--:--;     40.000
1973-07-14;--:--;     35.000
1973-07-15;--:--;     30.000
1973-07-16;--:--;     30.000
1973-07-17;--:--;     80.000
1973-07-18;--:--;     73.000
1973-07-19;--:--;     69.000
1973-07-20;--:--;     82.000
1973-07-21;--:--;     89.000
1973-07-22;--:--;     75.000
1973-07-23;--:--;     58.000
1973-07-24;--:--;     86.000
