# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4873280
# River:                 RIO SAN CARLOS
# Station:               BOCA TAPADA
# Country:               CR
# Latitude (DD):       10.67
# Longitude (DD):      -84.22
# Catchment area (km²):      2999.0
# Altitude (m ASL):        22.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1985-05 - 1993-04
# No. of years:          9
# Last update:           2018-05-31
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2922
# DATA
YYYY-MM-DD;hh:mm; Value
1985-05-01;--:--;     42.000
1985-05-02;--:--;     44.000
1985-05-03;--:--;     41.000
1985-05-04;--:--;     41.000
1985-05-05;--:--;     40.000
1985-05-06;--:--;     40.000
1985-05-07;--:--;     39.000
1985-05-08;--:--;     44.000
1985-05-09;--:--;     47.000
1985-05-10;--:--;     45.000
1985-05-11;--:--;     39.000
1985-05-12;--:--;     44.000
1985-05-13;--:--;     63.000
1985-05-14;--:--;     80.000
1985-05-15;--:--;     56.000
1985-05-16;--:--;     46.000
1985-05-17;--:--;     44.000
1985-05-18;--:--;     41.000
1985-05-19;--:--;     41.000
1985-05-20;--:--;     39.000
1985-05-21;--:--;     44.000
1985-05-22;--:--;     46.000
1985-05-23;--:--;     45.000
1985-05-24;--:--;     44.000
1985-05-25;--:--;     43.000
1985-05-26;--:--;     42.000
1985-05-27;--:--;     44.000
1985-05-28;--:--;     48.000
1985-05-29;--:--;     51.000
1985-05-30;--:--;     47.000
1985-05-31;--:--;     44.000
1985-06-01;--:--;     45.000
1985-06-02;--:--;     41.000
1985-06-03;--:--;     51.000
1985-06-04;--:--;     70.000
1985-06-05;--:--;    114.000
1985-06-06;--:--;    123.000
1985-06-07;--:--;     95.000
1985-06-08;--:--;     76.000
1985-06-09;--:--;     66.000
1985-06-10;--:--;     66.000
1985-06-11;--:--;     76.000
1985-06-12;--:--;    119.000
1985-06-13;--:--;     91.000
1985-06-14;--:--;    119.000
1985-06-15;--:--;    119.000
1985-06-16;--:--;    101.000
1985-06-17;--:--;     90.000
1985-06-18;--:--;    109.000
1985-06-19;--:--;    115.000
1985-06-20;--:--;    262.000
1985-06-21;--:--;    479.000
1985-06-22;--:--;    314.000
1985-06-23;--:--;    221.000
1985-06-24;--:--;    178.000
1985-06-25;--:--;    249.000
1985-06-26;--:--;    188.000
1985-06-27;--:--;    175.000
1985-06-28;--:--;    153.000
1985-06-29;--:--;    161.000
1985-06-30;--:--;    162.000
1985-07-01;--:--;    271.000
1985-07-02;--:--;    205.000
1985-07-03;--:--;    162.000
1985-07-04;--:--;    232.000
1985-07-05;--:--;    183.000
1985-07-06;--:--;    168.000
1985-07-07;--:--;    153.000
1985-07-08;--:--;    299.000
1985-07-09;--:--;    205.000
1985-07-10;--:--;    205.000
1985-07-11;--:--;    196.000
1985-07-12;--:--;    190.000
1985-07-13;--:--;    252.000
1985-07-14;--:--;    198.000
1985-07-15;--:--;    191.000
1985-07-16;--:--;    276.000
1985-07-17;--:--;    388.000
1985-07-18;--:--;    279.000
1985-07-19;--:--;    253.000
1985-07-20;--:--;    217.000
1985-07-21;--:--;    198.000
1985-07-22;--:--;    196.000
1985-07-23;--:--;    175.000
1985-07-24;--:--;    180.000
1985-07-25;--:--;    272.000
1985-07-26;--:--;    305.000
1985-07-27;--:--;    266.000
1985-07-28;--:--;    231.000
1985-07-29;--:--;    340.000
1985-07-30;--:--;    475.000
1985-07-31;--:--;    290.000
1985-08-01;--:--;    245.000
1985-08-02;--:--;    259.000
1985-08-03;--:--;    417.000
1985-08-04;--:--;    315.000
1985-08-05;--:--;    259.000
1985-08-06;--:--;    269.000
1985-08-07;--:--;    440.000
1985-08-08;--:--;    296.000
1985-08-09;--:--;    339.000
1985-08-10;--:--;    296.000
1985-08-11;--:--;    300.000
1985-08-12;--:--;    245.000
1985-08-13;--:--;    216.000
1985-08-14;--:--;    207.000
1985-08-15;--:--;    213.000
1985-08-16;--:--;    201.000
1985-08-17;--:--;    213.000
1985-08-18;--:--;    213.000
1985-08-19;--:--;    205.000
1985-08-20;--:--;    200.000
1985-08-21;--:--;    258.000
1985-08-22;--:--;    508.000
1985-08-23;--:--;    320.000
1985-08-24;--:--;    279.000
1985-08-25;--:--;    283.000
1985-08-26;--:--;    283.000
1985-08-27;--:--;    347.000
1985-08-28;--:--;    296.000
1985-08-29;--:--;    269.000
1985-08-30;--:--;    264.000
1985-08-31;--:--;    245.000
1985-09-01;--:--;    266.000
1985-09-02;--:--;    259.000
1985-09-03;--:--;    266.000
1985-09-04;--:--;    262.000
1985-09-05;--:--;    307.000
1985-09-06;--:--;    440.000
1985-09-07;--:--;    733.000
1985-09-08;--:--;    474.000
1985-09-09;--:--;    502.000
1985-09-10;--:--;    422.000
1985-09-11;--:--;    350.000
1985-09-12;--:--;    332.000
1985-09-13;--:--;    342.000
1985-09-14;--:--;    372.000
1985-09-15;--:--;    350.000
1985-09-16;--:--;    305.000
1985-09-17;--:--;    253.000
1985-09-18;--:--;    237.000
1985-09-19;--:--;    226.000
1985-09-20;--:--;    185.000
1985-09-21;--:--;    183.000
1985-09-22;--:--;    215.000
1985-09-23;--:--;    228.000
1985-09-24;--:--;    211.000
1985-09-25;--:--;    179.000
1985-09-26;--:--;    165.000
1985-09-27;--:--;    162.000
1985-09-28;--:--;    173.000
1985-09-29;--:--;    158.000
1985-09-30;--:--;    155.000
1985-10-01;--:--;    147.000
1985-10-02;--:--;    150.000
1985-10-03;--:--;    156.000
1985-10-04;--:--;    187.000
1985-10-05;--:--;    222.000
1985-10-06;--:--;    165.000
1985-10-07;--:--;    149.000
1985-10-08;--:--;    150.000
1985-10-09;--:--;    136.000
1985-10-10;--:--;    135.000
1985-10-11;--:--;    132.000
1985-10-12;--:--;    131.000
1985-10-13;--:--;    135.000
1985-10-14;--:--;    126.000
1985-10-15;--:--;    159.000
1985-10-16;--:--;    173.000
1985-10-17;--:--;    188.000
1985-10-18;--:--;    173.000
1985-10-19;--:--;    159.000
1985-10-20;--:--;    144.000
1985-10-21;--:--;    151.000
1985-10-22;--:--;    145.000
1985-10-23;--:--;    130.000
1985-10-24;--:--;    130.000
1985-10-25;--:--;    138.000
1985-10-26;--:--;    141.000
1985-10-27;--:--;    132.000
1985-10-28;--:--;    151.000
1985-10-29;--:--;    145.000
1985-10-30;--:--;    141.000
1985-10-31;--:--;    162.000
1985-11-01;--:--;    165.000
1985-11-02;--:--;    161.000
1985-11-03;--:--;    162.000
1985-11-04;--:--;    142.000
1985-11-05;--:--;    150.000
1985-11-06;--:--;    232.000
1985-11-07;--:--;    486.000
1985-11-08;--:--;    373.000
1985-11-09;--:--;    253.000
1985-11-10;--:--;    217.000
1985-11-11;--:--;    190.000
1985-11-12;--:--;    168.000
1985-11-13;--:--;    159.000
1985-11-14;--:--;    190.000
1985-11-15;--:--;    271.000
1985-11-16;--:--;    205.000
1985-11-17;--:--;    175.000
1985-11-18;--:--;    171.000
1985-11-19;--:--;    168.000
1985-11-20;--:--;    147.000
1985-11-21;--:--;    140.000
1985-11-22;--:--;    146.000
1985-11-23;--:--;    154.000
1985-11-24;--:--;    144.000
1985-11-25;--:--;    132.000
1985-11-26;--:--;    125.000
1985-11-27;--:--;    118.000
1985-11-28;--:--;    115.000
1985-11-29;--:--;    120.000
1985-11-30;--:--;    126.000
1985-12-01;--:--;    126.000
1985-12-02;--:--;    120.000
1985-12-03;--:--;    120.000
1985-12-04;--:--;    126.000
1985-12-05;--:--;    140.000
1985-12-06;--:--;    132.000
1985-12-07;--:--;    155.000
1985-12-08;--:--;    141.000
1985-12-09;--:--;    163.000
1985-12-10;--:--;    341.000
1985-12-11;--:--;    243.000
1985-12-12;--:--;    177.000
1985-12-13;--:--;    154.000
1985-12-14;--:--;    150.000
1985-12-15;--:--;    143.000
1985-12-16;--:--;    129.000
1985-12-17;--:--;    122.000
1985-12-18;--:--;    120.000
1985-12-19;--:--;    116.000
1985-12-20;--:--;    109.000
1985-12-21;--:--;    108.000
1985-12-22;--:--;    108.000
1985-12-23;--:--;    102.000
1985-12-24;--:--;     96.000
1985-12-25;--:--;     92.000
1985-12-26;--:--;     91.000
1985-12-27;--:--;     95.000
1985-12-28;--:--;     95.000
1985-12-29;--:--;     92.000
1985-12-30;--:--;     88.000
1985-12-31;--:--;     84.000
1986-01-01;--:--;     78.000
1986-01-02;--:--;     82.000
1986-01-03;--:--;     96.000
1986-01-04;--:--;    131.000
1986-01-05;--:--;    141.000
1986-01-06;--:--;    105.000
1986-01-07;--:--;     95.000
1986-01-08;--:--;     88.000
1986-01-09;--:--;     85.000
1986-01-10;--:--;     86.000
1986-01-11;--:--;     84.000
1986-01-12;--:--;     76.000
1986-01-13;--:--;     77.000
1986-01-14;--:--;    127.000
1986-01-15;--:--;    228.000
1986-01-16;--:--;    249.000
1986-01-17;--:--;    191.000
1986-01-18;--:--;    136.000
1986-01-19;--:--;    115.000
1986-01-20;--:--;    110.000
1986-01-21;--:--;     99.000
1986-01-22;--:--;     91.000
1986-01-23;--:--;     86.000
1986-01-24;--:--;     90.000
1986-01-25;--:--;     85.000
1986-01-26;--:--;     81.000
1986-01-27;--:--;     76.000
1986-01-28;--:--;     87.000
1986-01-29;--:--;    134.000
1986-01-30;--:--;    148.000
1986-01-31;--:--;    165.000
1986-02-01;--:--;    244.000
1986-02-02;--:--;    145.000
1986-02-03;--:--;    120.000
1986-02-04;--:--;    116.000
1986-02-05;--:--;    115.000
1986-02-06;--:--;    100.000
1986-02-07;--:--;     97.000
1986-02-08;--:--;     95.000
1986-02-09;--:--;     89.000
1986-02-10;--:--;     86.000
1986-02-11;--:--;     84.000
1986-02-12;--:--;     86.000
1986-02-13;--:--;     83.000
1986-02-14;--:--;     74.000
1986-02-15;--:--;     67.000
1986-02-16;--:--;     73.000
1986-02-17;--:--;     69.000
1986-02-18;--:--;     65.000
1986-02-19;--:--;     66.000
1986-02-20;--:--;     66.000
1986-02-21;--:--;     59.000
1986-02-22;--:--;     56.000
1986-02-23;--:--;     56.000
1986-02-24;--:--;     56.000
1986-02-25;--:--;     56.000
1986-02-26;--:--;     54.000
1986-02-27;--:--;     54.000
1986-02-28;--:--;     53.000
1986-03-01;--:--;     51.000
1986-03-02;--:--;     53.000
1986-03-03;--:--;     63.000
1986-03-04;--:--;     65.000
1986-03-05;--:--;     64.000
1986-03-06;--:--;     67.000
1986-03-07;--:--;     71.000
1986-03-08;--:--;     63.000
1986-03-09;--:--;     57.000
1986-03-10;--:--;     53.000
1986-03-11;--:--;     54.000
1986-03-12;--:--;     52.000
1986-03-13;--:--;     49.000
1986-03-14;--:--;     48.000
1986-03-15;--:--;     46.000
1986-03-16;--:--;     47.000
1986-03-17;--:--;     52.000
1986-03-18;--:--;     46.000
1986-03-19;--:--;     44.000
1986-03-20;--:--;     46.000
1986-03-21;--:--;     56.000
1986-03-22;--:--;    144.000
1986-03-23;--:--;    251.000
1986-03-24;--:--;    283.000
1986-03-25;--:--;    293.000
1986-03-26;--:--;    196.000
1986-03-27;--:--;    137.000
1986-03-28;--:--;    112.000
1986-03-29;--:--;     97.000
1986-03-30;--:--;     86.000
1986-03-31;--:--;     82.000
1986-04-01;--:--;     78.000
1986-04-02;--:--;     76.000
1986-04-03;--:--;     77.000
1986-04-04;--:--;     73.000
1986-04-05;--:--;     66.000
1986-04-06;--:--;     64.000
1986-04-07;--:--;     66.000
1986-04-08;--:--;     74.000
1986-04-09;--:--;     67.000
1986-04-10;--:--;     57.000
1986-04-11;--:--;     56.000
1986-04-12;--:--;     56.000
1986-04-13;--:--;     56.000
1986-04-14;--:--;     56.000
1986-04-15;--:--;     54.000
1986-04-16;--:--;     65.000
1986-04-17;--:--;     67.000
1986-04-18;--:--;     73.000
1986-04-19;--:--;     62.000
1986-04-20;--:--;     58.000
1986-04-21;--:--;     66.000
1986-04-22;--:--;     62.000
1986-04-23;--:--;     58.000
1986-04-24;--:--;     58.000
1986-04-25;--:--;     84.000
1986-04-26;--:--;    107.000
1986-04-27;--:--;     71.000
1986-04-28;--:--;     60.000
1986-04-29;--:--;     57.000
1986-04-30;--:--;     60.000
1986-05-01;--:--;     65.000
1986-05-02;--:--;     64.000
1986-05-03;--:--;     64.000
1986-05-04;--:--;     71.000
1986-05-05;--:--;     84.000
1986-05-06;--:--;     72.000
1986-05-07;--:--;     66.000
1986-05-08;--:--;     73.000
1986-05-09;--:--;     69.000
1986-05-10;--:--;     58.000
1986-05-11;--:--;     53.000
1986-05-12;--:--;     52.000
1986-05-13;--:--;     46.000
1986-05-14;--:--;     58.000
1986-05-15;--:--;     56.000
1986-05-16;--:--;     48.000
1986-05-17;--:--;     46.000
1986-05-18;--:--;     45.000
1986-05-19;--:--;     44.000
1986-05-20;--:--;     42.000
1986-05-21;--:--;     46.000
1986-05-22;--:--;     54.000
1986-05-23;--:--;     75.000
1986-05-24;--:--;    128.000
1986-05-25;--:--;     97.000
1986-05-26;--:--;     93.000
1986-05-27;--:--;    102.000
1986-05-28;--:--;    142.000
1986-05-29;--:--;    129.000
1986-05-30;--:--;     95.000
1986-05-31;--:--;     86.000
1986-06-01;--:--;     75.000
1986-06-02;--:--;     66.000
1986-06-03;--:--;     64.000
1986-06-04;--:--;     58.000
1986-06-05;--:--;     62.000
1986-06-06;--:--;     72.000
1986-06-07;--:--;     83.000
1986-06-08;--:--;     89.000
1986-06-09;--:--;    144.000
1986-06-10;--:--;    112.000
1986-06-11;--:--;    113.000
1986-06-12;--:--;    103.000
1986-06-13;--:--;    121.000
1986-06-14;--:--;    158.000
1986-06-15;--:--;    123.000
1986-06-16;--:--;    113.000
1986-06-17;--:--;    109.000
1986-06-18;--:--;    123.000
1986-06-19;--:--;    203.000
1986-06-20;--:--;    216.000
1986-06-21;--:--;    259.000
1986-06-22;--:--;    272.000
1986-06-23;--:--;    264.000
1986-06-24;--:--;    231.000
1986-06-25;--:--;    203.000
1986-06-26;--:--;    246.000
1986-06-27;--:--;    242.000
1986-06-28;--:--;    191.000
1986-06-29;--:--;    321.000
1986-06-30;--:--;    443.000
1986-07-01;--:--;    226.000
1986-07-02;--:--;    221.000
1986-07-03;--:--;    202.000
1986-07-04;--:--;    194.000
1986-07-05;--:--;    194.000
1986-07-06;--:--;    185.000
1986-07-07;--:--;    224.000
1986-07-08;--:--;    322.000
1986-07-09;--:--;    298.000
1986-07-10;--:--;    242.000
1986-07-11;--:--;    381.000
1986-07-12;--:--;    285.000
1986-07-13;--:--;    251.000
1986-07-14;--:--;    234.000
1986-07-15;--:--;    239.000
1986-07-16;--:--;    259.000
1986-07-17;--:--;    229.000
1986-07-18;--:--;    208.000
1986-07-19;--:--;    214.000
1986-07-20;--:--;    272.000
1986-07-21;--:--;    333.000
1986-07-22;--:--;    377.000
1986-07-23;--:--;    269.000
1986-07-24;--:--;    287.000
1986-07-25;--:--;    278.000
1986-07-26;--:--;    463.000
1986-07-27;--:--;    326.000
1986-07-28;--:--;    295.000
1986-07-29;--:--;    259.000
1986-07-30;--:--;    257.000
1986-07-31;--:--;    230.000
1986-08-01;--:--;    526.000
1986-08-02;--:--;    475.000
1986-08-03;--:--;    297.000
1986-08-04;--:--;    287.000
1986-08-05;--:--;    389.000
1986-08-06;--:--;    347.000
1986-08-07;--:--;    270.000
1986-08-08;--:--;    396.000
1986-08-09;--:--;    320.000
1986-08-10;--:--;    332.000
1986-08-11;--:--;    311.000
1986-08-12;--:--;    285.000
1986-08-13;--:--;    401.000
1986-08-14;--:--;    314.000
1986-08-15;--:--;    258.000
1986-08-16;--:--;    232.000
1986-08-17;--:--;    228.000
1986-08-18;--:--;    290.000
1986-08-19;--:--;    441.000
1986-08-20;--:--;    586.000
1986-08-21;--:--;    438.000
1986-08-22;--:--;    393.000
1986-08-23;--:--;    383.000
1986-08-24;--:--;    320.000
1986-08-25;--:--;    285.000
1986-08-26;--:--;    257.000
1986-08-27;--:--;    247.000
1986-08-28;--:--;    235.000
1986-08-29;--:--;    239.000
1986-08-30;--:--;    257.000
1986-08-31;--:--;    253.000
1986-09-01;--:--;    276.000
1986-09-02;--:--;    309.000
1986-09-03;--:--;    261.000
1986-09-04;--:--;    244.000
1986-09-05;--:--;    253.000
1986-09-06;--:--;    224.000
1986-09-07;--:--;    357.000
1986-09-08;--:--;    598.000
1986-09-09;--:--;    475.000
1986-09-10;--:--;    307.000
1986-09-11;--:--;    266.000
1986-09-12;--:--;    251.000
1986-09-13;--:--;    247.000
1986-09-14;--:--;    232.000
1986-09-15;--:--;    230.000
1986-09-16;--:--;    273.000
1986-09-17;--:--;    247.000
1986-09-18;--:--;    232.000
1986-09-19;--:--;    210.000
1986-09-20;--:--;    217.000
1986-09-21;--:--;    217.000
1986-09-22;--:--;    250.000
1986-09-23;--:--;    243.000
1986-09-24;--:--;    282.000
1986-09-25;--:--;    245.000
1986-09-26;--:--;    216.000
1986-09-27;--:--;    332.000
1986-09-28;--:--;    291.000
1986-09-29;--:--;    235.000
1986-09-30;--:--;    254.000
1986-10-01;--:--;    366.000
1986-10-02;--:--;    616.000
1986-10-03;--:--;    338.000
1986-10-04;--:--;    277.000
1986-10-05;--:--;    368.000
1986-10-06;--:--;    547.000
1986-10-07;--:--;    473.000
1986-10-08;--:--;    428.000
1986-10-09;--:--;    387.000
1986-10-10;--:--;    381.000
1986-10-11;--:--;    364.000
1986-10-12;--:--;    382.000
1986-10-13;--:--;    420.000
1986-10-14;--:--;    373.000
1986-10-15;--:--;    347.000
1986-10-16;--:--;    315.000
1986-10-17;--:--;    312.000
1986-10-18;--:--;    278.000
