# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4873410
# River:                 RIO SARAPIQUI
# Station:               CARIBLANCO
# Country:               CR
# Latitude (DD):       10.25
# Longitude (DD):      -84.17
# Catchment area (km²):      73.0
# Altitude (m ASL):        752.0
# Next downstream station:      4873450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973-05 - 1993-04
# No. of years:          21
# Last update:           2018-05-31
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7305
# DATA
YYYY-MM-DD;hh:mm; Value
1973-05-01;--:--;      3.000
1973-05-02;--:--;      2.000
1973-05-03;--:--;      2.000
1973-05-04;--:--;      2.000
1973-05-05;--:--;      3.000
1973-05-06;--:--;      3.000
1973-05-07;--:--;      3.000
1973-05-08;--:--;      3.000
1973-05-09;--:--;      5.000
1973-05-10;--:--;      5.000
1973-05-11;--:--;      3.000
1973-05-12;--:--;      3.000
1973-05-13;--:--;      3.000
1973-05-14;--:--;      3.000
1973-05-15;--:--;      3.000
1973-05-16;--:--;      4.000
1973-05-17;--:--;      3.000
1973-05-18;--:--;      6.000
1973-05-19;--:--;      6.000
1973-05-20;--:--;      9.000
1973-05-21;--:--;      7.000
1973-05-22;--:--;      4.000
1973-05-23;--:--;      5.000
1973-05-24;--:--;      5.000
1973-05-25;--:--;      6.000
1973-05-26;--:--;      4.000
1973-05-27;--:--;      6.000
1973-05-28;--:--;      5.000
1973-05-29;--:--;      4.000
1973-05-30;--:--;      4.000
1973-05-31;--:--;      4.000
1973-06-01;--:--;      5.000
1973-06-02;--:--;      5.000
1973-06-03;--:--;      7.000
1973-06-04;--:--;      6.000
1973-06-05;--:--;      5.000
1973-06-06;--:--;      5.000
1973-06-07;--:--;      5.000
1973-06-08;--:--;      4.000
1973-06-09;--:--;      4.000
1973-06-10;--:--;      4.000
1973-06-11;--:--;      4.000
1973-06-12;--:--;      4.000
1973-06-13;--:--;      6.000
1973-06-14;--:--;      6.000
1973-06-15;--:--;      5.000
1973-06-16;--:--;      5.000
1973-06-17;--:--;      6.000
1973-06-18;--:--;      8.000
1973-06-19;--:--;      9.000
1973-06-20;--:--;      8.000
1973-06-21;--:--;      7.000
1973-06-22;--:--;      6.000
1973-06-23;--:--;      6.000
1973-06-24;--:--;     10.000
1973-06-25;--:--;      9.000
1973-06-26;--:--;      8.000
1973-06-27;--:--;     21.000
1973-06-28;--:--;     13.000
1973-06-29;--:--;      9.000
1973-06-30;--:--;      8.000
1973-07-01;--:--;      8.000
1973-07-02;--:--;      7.000
1973-07-03;--:--;      7.000
1973-07-04;--:--;      6.000
1973-07-05;--:--;      6.000
1973-07-06;--:--;      6.000
1973-07-07;--:--;      5.000
1973-07-08;--:--;      5.000
1973-07-09;--:--;      5.000
1973-07-10;--:--;      5.000
1973-07-11;--:--;      5.000
1973-07-12;--:--;      5.000
1973-07-13;--:--;      5.000
1973-07-14;--:--;      5.000
1973-07-15;--:--;      5.000
1973-07-16;--:--;      4.000
1973-07-17;--:--;      4.000
1973-07-18;--:--;      5.000
1973-07-19;--:--;     10.000
1973-07-20;--:--;     13.000
1973-07-21;--:--;     13.000
1973-07-22;--:--;     12.000
1973-07-23;--:--;     13.000
1973-07-24;--:--;      8.000
1973-07-25;--:--;      7.000
1973-07-26;--:--;      7.000
1973-07-27;--:--;      8.000
1973-07-28;--:--;     10.000
1973-07-29;--:--;      9.000
1973-07-30;--:--;      7.000
1973-07-31;--:--;      8.000
1973-08-01;--:--;      8.000
1973-08-02;--:--;      7.000
1973-08-03;--:--;      6.000
1973-08-04;--:--;      6.000
1973-08-05;--:--;      6.000
1973-08-06;--:--;      6.000
1973-08-07;--:--;      6.000
1973-08-08;--:--;      5.000
1973-08-09;--:--;      5.000
1973-08-10;--:--;      5.000
1973-08-11;--:--;      5.000
1973-08-12;--:--;      6.000
1973-08-13;--:--;      5.000
1973-08-14;--:--;      5.000
1973-08-15;--:--;      5.000
1973-08-16;--:--;      4.000
1973-08-17;--:--;      4.000
1973-08-18;--:--;      5.000
1973-08-19;--:--;      4.000
1973-08-20;--:--;      5.000
1973-08-21;--:--;      8.000
1973-08-22;--:--;      7.000
1973-08-23;--:--;      6.000
1973-08-24;--:--;      5.000
1973-08-25;--:--;      5.000
1973-08-26;--:--;      7.000
1973-08-27;--:--;      7.000
1973-08-28;--:--;      6.000
1973-08-29;--:--;     39.000
1973-08-30;--:--;     21.000
1973-08-31;--:--;     16.000
1973-09-01;--:--;      7.000
1973-09-02;--:--;      7.000
1973-09-03;--:--;      7.000
1973-09-04;--:--;      7.000
1973-09-05;--:--;      9.000
1973-09-06;--:--;      7.000
1973-09-07;--:--;      7.000
1973-09-08;--:--;     15.000
1973-09-09;--:--;      8.000
1973-09-10;--:--;      7.000
1973-09-11;--:--;      7.000
1973-09-12;--:--;      8.000
1973-09-13;--:--;      7.000
1973-09-14;--:--;      7.000
1973-09-15;--:--;      8.000
1973-09-16;--:--;     13.000
1973-09-17;--:--;     23.000
1973-09-18;--:--;     36.000
1973-09-19;--:--;     55.000
1973-09-20;--:--;     62.000
1973-09-21;--:--;     27.000
1973-09-22;--:--;     23.000
1973-09-23;--:--;     20.000
1973-09-24;--:--;     20.000
1973-09-25;--:--;     15.000
1973-09-26;--:--;     13.000
1973-09-27;--:--;     12.000
1973-09-28;--:--;     20.000
1973-09-29;--:--;     25.000
1973-09-30;--:--;     18.000
1973-10-01;--:--;      7.000
1973-10-02;--:--;      9.000
1973-10-03;--:--;      7.000
1973-10-04;--:--;      7.000
1973-10-05;--:--;     10.000
1973-10-06;--:--;     11.000
1973-10-07;--:--;     14.000
1973-10-08;--:--;     12.000
1973-10-09;--:--;     11.000
1973-10-10;--:--;      9.000
1973-10-11;--:--;      8.000
1973-10-12;--:--;      9.000
1973-10-13;--:--;      9.000
1973-10-14;--:--;      9.000
1973-10-15;--:--;      9.000
1973-10-16;--:--;      8.000
1973-10-17;--:--;      8.000
1973-10-18;--:--;      7.000
1973-10-19;--:--;      7.000
1973-10-20;--:--;      8.000
1973-10-21;--:--;      8.000
1973-10-22;--:--;      9.000
1973-10-23;--:--;      8.000
1973-10-24;--:--;      8.000
1973-10-25;--:--;     11.000
1973-10-26;--:--;     10.000
1973-10-27;--:--;      9.000
1973-10-28;--:--;      9.000
1973-10-29;--:--;     10.000
1973-10-30;--:--;      8.000
1973-10-31;--:--;      8.000
1973-11-01;--:--;      7.000
1973-11-02;--:--;      7.000
1973-11-03;--:--;      7.000
1973-11-04;--:--;      7.000
1973-11-05;--:--;      9.000
1973-11-06;--:--;      7.000
1973-11-07;--:--;      7.000
1973-11-08;--:--;     15.000
1973-11-09;--:--;      8.000
1973-11-10;--:--;      7.000
1973-11-11;--:--;      7.000
1973-11-12;--:--;      8.000
1973-11-13;--:--;      7.000
1973-11-14;--:--;      7.000
1973-11-15;--:--;      8.000
1973-11-16;--:--;     13.000
1973-11-17;--:--;     23.000
1973-11-18;--:--;     36.000
1973-11-19;--:--;     55.000
1973-11-20;--:--;     62.000
1973-11-21;--:--;     27.000
1973-11-22;--:--;     23.000
1973-11-23;--:--;     20.000
1973-11-24;--:--;     20.000
1973-11-25;--:--;     15.000
1973-11-26;--:--;     13.000
1973-11-27;--:--;     12.000
1973-11-28;--:--;     20.000
1973-11-29;--:--;     25.000
1973-11-30;--:--;     18.000
1973-12-01;--:--;     13.000
1973-12-02;--:--;     11.000
1973-12-03;--:--;     12.000
1973-12-04;--:--;     10.000
1973-12-05;--:--;     10.000
1973-12-06;--:--;      9.000
1973-12-07;--:--;      9.000
1973-12-08;--:--;      9.000
1973-12-09;--:--;      9.000
1973-12-10;--:--;     54.000
1973-12-11;--:--;    141.000
1973-12-12;--:--;    125.000
1973-12-13;--:--;     70.000
1973-12-14;--:--;     39.000
1973-12-15;--:--;     27.000
1973-12-16;--:--;     22.000
1973-12-17;--:--;     33.000
1973-12-18;--:--;     48.000
1973-12-19;--:--;     38.000
1973-12-20;--:--;     25.000
1973-12-21;--:--;     41.000
1973-12-22;--:--;     96.000
1973-12-23;--:--;     49.000
1973-12-24;--:--;     30.000
1973-12-25;--:--;     24.000
1973-12-26;--:--;     21.000
1973-12-27;--:--;     24.000
1973-12-28;--:--;     18.000
1973-12-29;--:--;     16.000
1973-12-30;--:--;     15.000
1973-12-31;--:--;     13.000
1974-01-01;--:--;     12.000
1974-01-02;--:--;     13.000
1974-01-03;--:--;     13.000
1974-01-04;--:--;     11.000
1974-01-05;--:--;     10.000
1974-01-06;--:--;      9.000
1974-01-07;--:--;      9.000
1974-01-08;--:--;      9.000
1974-01-09;--:--;     24.000
1974-01-10;--:--;     11.000
1974-01-11;--:--;     10.000
1974-01-12;--:--;      9.000
1974-01-13;--:--;     17.000
1974-01-14;--:--;     11.000
1974-01-15;--:--;     10.000
1974-01-16;--:--;      9.000
