# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4873450
# River:                 RIO SARAPIQUI
# Station:               PUERTO VIEJO
# Country:               CR
# Latitude (DD):       10.47
# Longitude (DD):      -84.0
# Catchment area (km²):      821.0
# Altitude (m ASL):        22.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973-05 - 1993-04
# No. of years:          21
# Last update:           2018-05-31
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7305
# DATA
YYYY-MM-DD;hh:mm; Value
1973-05-01;--:--;     94.000
1973-05-02;--:--;     35.000
1973-05-03;--:--;     30.000
1973-05-04;--:--;     29.000
1973-05-05;--:--;     36.000
1973-05-06;--:--;     34.000
1973-05-07;--:--;     50.000
1973-05-08;--:--;     39.000
1973-05-09;--:--;     69.000
1973-05-10;--:--;    113.000
1973-05-11;--:--;     82.000
1973-05-12;--:--;     66.000
1973-05-13;--:--;     39.000
1973-05-14;--:--;     36.000
1973-05-15;--:--;     54.000
1973-05-16;--:--;    148.000
1973-05-17;--:--;     89.000
1973-05-18;--:--;     62.000
1973-05-19;--:--;    216.000
1973-05-20;--:--;    355.000
1973-05-21;--:--;    143.000
1973-05-22;--:--;     84.000
1973-05-23;--:--;     67.000
1973-05-24;--:--;    133.000
1973-05-25;--:--;    130.000
1973-05-26;--:--;    148.000
1973-05-27;--:--;    138.000
1973-05-28;--:--;    164.000
1973-05-29;--:--;    138.000
1973-05-30;--:--;    207.000
1973-05-31;--:--;    118.000
1973-06-01;--:--;    153.000
1973-06-02;--:--;    162.000
1973-06-03;--:--;    212.000
1973-06-04;--:--;    149.000
1973-06-05;--:--;    103.000
1973-06-06;--:--;    107.000
1973-06-07;--:--;    210.000
1973-06-08;--:--;    126.000
1973-06-09;--:--;     92.000
1973-06-10;--:--;    121.000
1973-06-11;--:--;     87.000
1973-06-12;--:--;     78.000
1973-06-13;--:--;    139.000
1973-06-14;--:--;    290.000
1973-06-15;--:--;    194.000
1973-06-16;--:--;    110.000
1973-06-17;--:--;    154.000
1973-06-18;--:--;    193.000
1973-06-19;--:--;    235.000
1973-06-20;--:--;    178.000
1973-06-21;--:--;    153.000
1973-06-22;--:--;    123.000
1973-06-23;--:--;    118.000
1973-06-24;--:--;    208.000
1973-06-25;--:--;    226.000
1973-06-26;--:--;    133.000
1973-06-27;--:--;    159.000
1973-06-28;--:--;    172.000
1973-06-29;--:--;    130.000
1973-06-30;--:--;    112.000
1973-07-01;--:--;    123.000
1973-07-02;--:--;     87.000
1973-07-03;--:--;     80.000
1973-07-04;--:--;     80.000
1973-07-05;--:--;     78.000
1973-07-06;--:--;     66.000
1973-07-07;--:--;     62.000
1973-07-08;--:--;     60.000
1973-07-09;--:--;     62.000
1973-07-10;--:--;     67.000
1973-07-11;--:--;     60.000
1973-07-12;--:--;     54.000
1973-07-13;--:--;     75.000
1973-07-14;--:--;    113.000
1973-07-15;--:--;     93.000
1973-07-16;--:--;     85.000
1973-07-17;--:--;     89.000
1973-07-18;--:--;    121.000
1973-07-19;--:--;    128.000
1973-07-20;--:--;    167.000
1973-07-21;--:--;    191.000
1973-07-22;--:--;    162.000
1973-07-23;--:--;    208.000
1973-07-24;--:--;    147.000
1973-07-25;--:--;    118.000
1973-07-26;--:--;    163.000
1973-07-27;--:--;    163.000
1973-07-28;--:--;    169.000
1973-07-29;--:--;    219.000
1973-07-30;--:--;    112.000
1973-07-31;--:--;    117.000
1973-08-01;--:--;    111.000
1973-08-02;--:--;     96.000
1973-08-03;--:--;     80.000
1973-08-04;--:--;     69.000
1973-08-05;--:--;     71.000
1973-08-06;--:--;     86.000
1973-08-07;--:--;     77.000
1973-08-08;--:--;     63.000
1973-08-09;--:--;     59.000
1973-08-10;--:--;     63.000
1973-08-11;--:--;     71.000
1973-08-12;--:--;     56.000
1973-08-13;--:--;     53.000
1973-08-14;--:--;     50.000
1973-08-15;--:--;     47.000
1973-08-16;--:--;     45.000
1973-08-17;--:--;     43.000
1973-08-18;--:--;     46.000
1973-08-19;--:--;     57.000
1973-08-20;--:--;     50.000
1973-08-21;--:--;     85.000
1973-08-22;--:--;    101.000
1973-08-23;--:--;     98.000
1973-08-24;--:--;     75.000
1973-08-25;--:--;    118.000
1973-08-26;--:--;    123.000
1973-08-27;--:--;    140.000
1973-08-28;--:--;    164.000
1973-08-29;--:--;    220.000
1973-08-30;--:--;    178.000
1973-08-31;--:--;    169.000
1973-09-01;--:--;    113.000
1973-09-02;--:--;     96.000
1973-09-03;--:--;    141.000
1973-09-04;--:--;     92.000
1973-09-05;--:--;     75.000
1973-09-06;--:--;     66.000
1973-09-07;--:--;     70.000
1973-09-08;--:--;     77.000
1973-09-09;--:--;     71.000
1973-09-10;--:--;     66.000
1973-09-11;--:--;     95.000
1973-09-12;--:--;     86.000
1973-09-13;--:--;     73.000
1973-09-14;--:--;     98.000
1973-09-15;--:--;     66.000
1973-09-16;--:--;     62.000
1973-09-17;--:--;     58.000
1973-09-18;--:--;     57.000
1973-09-19;--:--;     71.000
